party;ep_party;colour;l_r_score;abbreviation
Party for the Animals;LEFT;#8B0000;-4;PvdD
Socialist Party;LEFT;#C00000;-5;SP
Labour Party;S&D;#E41A1C;-2;PvdA
GroenLinks;G/EFA;#00A651;-3;GL
Volt;G/EFA;#582C83;-1;VOLT
Denk;NI;#999999;-1;DENK
Democrats 66;RE;#66CC00;0;D66
People’s Party for Freedom and Democracy;RE;#1F77B4;2;VVD
Christian Democratic Appeal;EPP;#1E90FF;2;CDA
Christian Union;EPP;#4169E1;1;CU
Farmer-Citizen Movement;EPP;#92D050;3;BBB
New Social Contract;EPP;#003366;2;NSC
Correct Answer 21;ECR;#0000CD;3;JA21
Reformed Political Party;ECR;#191970;4;SGP
Party for Freedom;PfE;#000000;5;PVV
Forum for Democracy;NI;#555555;4;FvD