,municipality,gender,age_group,N
2648,Skanderborg,Women,80-84,1138
2649,Skanderborg,Women,85-89,557
2650,Skanderborg,Women,90-94,193
2651,Skive,Men,100+,25
2652,Skive,Men,15-19,1273
2653,Skive,Men,20-24,1091
2654,Skive,Men,25-29,915
2655,Skive,Men,30-34,1102
2656,Skive,Men,35-39,1050
2657,Skive,Men,40-44,980
2658,Skive,Men,45-49,1251
2659,Skive,Men,50-54,1411
2660,Skive,Men,55-59,1513
2661,Skive,Men,60-64,1660
2662,Skive,Men,65-69,1521
2663,Skive,Men,70-74,1466
2664,Skive,Men,75-79,1247
2665,Skive,Men,80-84,858
2666,Skive,Men,85-89,429
2667,Skive,Men,90-94,167
2668,Skive,Women,100+,62
2669,Skive,Women,15-19,1283
2670,Skive,Women,20-24,868
2671,Skive,Women,25-29,747
2672,Skive,Women,30-34,941
2673,Skive,Women,35-39,961
2674,Skive,Women,40-44,915
2675,Skive,Women,45-49,1117
2676,Skive,Women,50-54,1373
2677,Skive,Women,55-59,1539
2678,Skive,Women,60-64,1589
2679,Skive,Women,65-69,1564
2680,Skive,Women,70-74,1437
2681,Skive,Women,75-79,1252
2682,Skive,Women,80-84,1031
2683,Skive,Women,85-89,562
2684,Skive,Women,90-94,209
2685,Slagelse,Men,100+,37
2686,Slagelse,Men,15-19,2230
2687,Slagelse,Men,20-24,2221
2688,Slagelse,Men,25-29,2203
2689,Slagelse,Men,30-34,2437
2690,Slagelse,Men,35-39,1995
2691,Slagelse,Men,40-44,1740
2692,Slagelse,Men,45-49,2062
2693,Slagelse,Men,50-54,2471
2694,Slagelse,Men,55-59,2587
2695,Slagelse,Men,60-64,2849
2696,Slagelse,Men,65-69,2355
2697,Slagelse,Men,70-74,2044
2698,Slagelse,Men,75-79,1910
2699,Slagelse,Men,80-84,1401
2700,Slagelse,Men,85-89,602
2701,Slagelse,Men,90-94,180
2702,Slagelse,Women,100+,99
2703,Slagelse,Women,15-19,2035
2704,Slagelse,Women,20-24,1979
2705,Slagelse,Women,25-29,2053
2706,Slagelse,Women,30-34,2247
2707,Slagelse,Women,35-39,1885
2708,Slagelse,Women,40-44,1745
2709,Slagelse,Women,45-49,2086
2710,Slagelse,Women,50-54,2491
2711,Slagelse,Women,55-59,2737
2712,Slagelse,Women,60-64,2778
2713,Slagelse,Women,65-69,2455
2714,Slagelse,Women,70-74,2212
2715,Slagelse,Women,75-79,2158
2716,Slagelse,Women,80-84,1697
2717,Slagelse,Women,85-89,913
2718,Slagelse,Women,90-94,344
2719,Solrød,Men,100+,9
2720,Solrød,Men,15-19,779
2721,Solrød,Men,20-24,517
2722,Solrød,Men,25-29,447
2723,Solrød,Men,30-34,600
2724,Solrød,Men,35-39,678
2725,Solrød,Men,40-44,626
2726,Solrød,Men,45-49,759
2727,Solrød,Men,50-54,844
2728,Solrød,Men,55-59,819
2729,Solrød,Men,60-64,750
2730,Solrød,Men,65-69,535
2731,Solrød,Men,70-74,496
2732,Solrød,Men,75-79,554
2733,Solrød,Men,80-84,420
2734,Solrød,Men,85-89,191
2735,Solrød,Men,90-94,43
2736,Solrød,Women,100+,11
2737,Solrød,Women,15-19,751
2738,Solrød,Women,20-24,457
2739,Solrød,Women,25-29,401
2740,Solrød,Women,30-34,670
2741,Solrød,Women,35-39,734
2742,Solrød,Women,40-44,676
2743,Solrød,Women,45-49,755
2744,Solrød,Women,50-54,863
2745,Solrød,Women,55-59,843
2746,Solrød,Women,60-64,727
2747,Solrød,Women,65-69,581
2748,Solrød,Women,70-74,519
2749,Solrød,Women,75-79,705
2750,Solrød,Women,80-84,525
2751,Solrød,Women,85-89,247
2752,Solrød,Women,90-94,71
2753,Sorø,Men,100+,14
2754,Sorø,Men,15-19,933
2755,Sorø,Men,20-24,638
2756,Sorø,Men,25-29,586
2757,Sorø,Men,30-34,781
2758,Sorø,Men,35-39,796
2759,Sorø,Men,40-44,788
2760,Sorø,Men,45-49,862
2761,Sorø,Men,50-54,1014
2762,Sorø,Men,55-59,1165
2763,Sorø,Men,60-64,1135
2764,Sorø,Men,65-69,934
2765,Sorø,Men,70-74,792
2766,Sorø,Men,75-79,726
2767,Sorø,Men,80-84,504
2768,Sorø,Men,85-89,247
2769,Sorø,Men,90-94,60
2770,Sorø,Women,100+,43
2771,Sorø,Women,15-19,852
2772,Sorø,Women,20-24,500
2773,Sorø,Women,25-29,515
2774,Sorø,Women,30-34,827
2775,Sorø,Women,35-39,809
2776,Sorø,Women,40-44,767
2777,Sorø,Women,45-49,912
2778,Sorø,Women,50-54,1029
2779,Sorø,Women,55-59,1098
2780,Sorø,Women,60-64,1165
2781,Sorø,Women,65-69,998
2782,Sorø,Women,70-74,873
2783,Sorø,Women,75-79,844
2784,Sorø,Women,80-84,656
2785,Sorø,Women,85-89,335
2786,Sorø,Women,90-94,125
2787,Stevns,Men,100+,8
2788,Stevns,Men,15-19,662
2789,Stevns,Men,20-24,441
2790,Stevns,Men,25-29,347
2791,Stevns,Men,30-34,513
2792,Stevns,Men,35-39,564
2793,Stevns,Men,40-44,537
2794,Stevns,Men,45-49,671
2795,Stevns,Men,50-54,815
2796,Stevns,Men,55-59,868
2797,Stevns,Men,60-64,960
2798,Stevns,Men,65-69,870
2799,Stevns,Men,70-74,725
2800,Stevns,Men,75-79,707
2801,Stevns,Men,80-84,507
2802,Stevns,Men,85-89,216
2803,Stevns,Men,90-94,52
2804,Stevns,Women,100+,25
2805,Stevns,Women,15-19,572
2806,Stevns,Women,20-24,341
2807,Stevns,Women,25-29,305
2808,Stevns,Women,30-34,511
2809,Stevns,Women,35-39,568
2810,Stevns,Women,40-44,545
2811,Stevns,Women,45-49,671
2812,Stevns,Women,50-54,767
2813,Stevns,Women,55-59,869
2814,Stevns,Women,60-64,965
2815,Stevns,Women,65-69,829
2816,Stevns,Women,70-74,727
2817,Stevns,Women,75-79,768
2818,Stevns,Women,80-84,519
2819,Stevns,Women,85-89,269
2820,Stevns,Women,90-94,112
2821,Struer,Men,100+,13
2822,Struer,Men,15-19,560
2823,Struer,Men,20-24,414
2824,Struer,Men,25-29,340
2825,Struer,Men,30-34,411
2826,Struer,Men,35-39,413
2827,Struer,Men,40-44,389
2828,Struer,Men,45-49,518
2829,Struer,Men,50-54,648
2830,Struer,Men,55-59,723
2831,Struer,Men,60-64,756
2832,Struer,Men,65-69,684
2833,Struer,Men,70-74,715
2834,Struer,Men,75-79,640
2835,Struer,Men,80-84,450
2836,Struer,Men,85-89,208
2837,Struer,Men,90-94,64
2838,Struer,Women,100+,36
2839,Struer,Women,15-19,557
2840,Struer,Women,20-24,365
2841,Struer,Women,25-29,286
2842,Struer,Women,30-34,394
2843,Struer,Women,35-39,350
2844,Struer,Women,40-44,410
2845,Struer,Women,45-49,509
2846,Struer,Women,50-54,635
2847,Struer,Women,55-59,700
2848,Struer,Women,60-64,722
2849,Struer,Women,65-69,731
2850,Struer,Women,70-74,717
2851,Struer,Women,75-79,686
2852,Struer,Women,80-84,516
2853,Struer,Women,85-89,261
2854,Struer,Women,90-94,105
2855,Svendborg,Men,100+,27
2856,Svendborg,Men,15-19,1847
2857,Svendborg,Men,20-24,1468
2858,Svendborg,Men,25-29,1174
2859,Svendborg,Men,30-34,1496
2860,Svendborg,Men,35-39,1584
2861,Svendborg,Men,40-44,1555
2862,Svendborg,Men,45-49,1674
2863,Svendborg,Men,50-54,1761
2864,Svendborg,Men,55-59,1855
2865,Svendborg,Men,60-64,1949
2866,Svendborg,Men,65-69,1917
2867,Svendborg,Men,70-74,1860
2868,Svendborg,Men,75-79,1556
2869,Svendborg,Men,80-84,1097
2870,Svendborg,Men,85-89,491
2871,Svendborg,Men,90-94,171
2872,Svendborg,Women,100+,88
2873,Svendborg,Women,15-19,1669
2874,Svendborg,Women,20-24,1096
2875,Svendborg,Women,25-29,1031
2876,Svendborg,Women,30-34,1476
2877,Svendborg,Women,35-39,1578
2878,Svendborg,Women,40-44,1525
2879,Svendborg,Women,45-49,1643
2880,Svendborg,Women,50-54,1847
2881,Svendborg,Women,55-59,1926
2882,Svendborg,Women,60-64,2080
2883,Svendborg,Women,65-69,2165
2884,Svendborg,Women,70-74,1933
2885,Svendborg,Women,75-79,1750
2886,Svendborg,Women,80-84,1266
2887,Svendborg,Women,85-89,749
2888,Svendborg,Women,90-94,304
2889,Syddjurs,Men,100+,25
2890,Syddjurs,Men,15-19,1286
2891,Syddjurs,Men,20-24,796
2892,Syddjurs,Men,25-29,666
2893,Syddjurs,Men,30-34,988
2894,Syddjurs,Men,35-39,1103
2895,Syddjurs,Men,40-44,1032
2896,Syddjurs,Men,45-49,1184
2897,Syddjurs,Men,50-54,1416
2898,Syddjurs,Men,55-59,1472
2899,Syddjurs,Men,60-64,1622
2900,Syddjurs,Men,65-69,1495
2901,Syddjurs,Men,70-74,1424
2902,Syddjurs,Men,75-79,1292
2903,Syddjurs,Men,80-84,936
2904,Syddjurs,Men,85-89,441
2905,Syddjurs,Men,90-94,115
2906,Syddjurs,Women,100+,45
2907,Syddjurs,Women,15-19,1166
2908,Syddjurs,Women,20-24,631
2909,Syddjurs,Women,25-29,605
2910,Syddjurs,Women,30-34,1032
2911,Syddjurs,Women,35-39,1144
2912,Syddjurs,Women,40-44,1077
2913,Syddjurs,Women,45-49,1151
2914,Syddjurs,Women,50-54,1393
2915,Syddjurs,Women,55-59,1534
2916,Syddjurs,Women,60-64,1683
2917,Syddjurs,Women,65-69,1558
2918,Syddjurs,Women,70-74,1441
2919,Syddjurs,Women,75-79,1363
2920,Syddjurs,Women,80-84,1002
2921,Syddjurs,Women,85-89,517
2922,Syddjurs,Women,90-94,178
2923,Sønderborg,Men,100+,40
2924,Sønderborg,Men,15-19,2001
2925,Sønderborg,Men,20-24,1517
2926,Sønderborg,Men,25-29,1377
2927,Sønderborg,Men,30-34,1668
2928,Sønderborg,Men,35-39,1557
2929,Sønderborg,Men,40-44,1540
2930,Sønderborg,Men,45-49,1746
2931,Sønderborg,Men,50-54,2150
2932,Sønderborg,Men,55-59,2512
2933,Sønderborg,Men,60-64,2569
2934,Sønderborg,Men,65-69,2228
2935,Sønderborg,Men,70-74,1902
2936,Sønderborg,Men,75-79,1830
2937,Sønderborg,Men,80-84,1456
2938,Sønderborg,Men,85-89,757
2939,Sønderborg,Men,90-94,235
2940,Sønderborg,Women,100+,109
2941,Sønderborg,Women,15-19,1835
2942,Sønderborg,Women,20-24,1204
2943,Sønderborg,Women,25-29,1079
2944,Sønderborg,Women,30-34,1457
2945,Sønderborg,Women,35-39,1518
2946,Sønderborg,Women,40-44,1479
2947,Sønderborg,Women,45-49,1723
2948,Sønderborg,Women,50-54,2159
2949,Sønderborg,Women,55-59,2493
2950,Sønderborg,Women,60-64,2511
2951,Sønderborg,Women,65-69,2239
2952,Sønderborg,Women,70-74,2071
2953,Sønderborg,Women,75-79,2088
2954,Sønderborg,Women,80-84,1870
2955,Sønderborg,Women,85-89,1103
2956,Sønderborg,Women,90-94,445
2957,Thisted,Men,100+,18
2958,Thisted,Men,15-19,1219
2959,Thisted,Men,20-24,983
2960,Thisted,Men,25-29,817
2961,Thisted,Men,30-34,1071
2962,Thisted,Men,35-39,1054
2963,Thisted,Men,40-44,905
2964,Thisted,Men,45-49,1100
2965,Thisted,Men,50-54,1187
2966,Thisted,Men,55-59,1399
2967,Thisted,Men,60-64,1502
2968,Thisted,Men,65-69,1498
2969,Thisted,Men,70-74,1428
2970,Thisted,Men,75-79,1196
2971,Thisted,Men,80-84,754
2972,Thisted,Men,85-89,364
2973,Thisted,Men,90-94,94
2974,Thisted,Women,100+,63
2975,Thisted,Women,15-19,1193
2976,Thisted,Women,20-24,798
2977,Thisted,Women,25-29,705
2978,Thisted,Women,30-34,971
2979,Thisted,Women,35-39,961
2980,Thisted,Women,40-44,889
2981,Thisted,Women,45-49,1044
2982,Thisted,Women,50-54,1214
2983,Thisted,Women,55-59,1380
2984,Thisted,Women,60-64,1487
2985,Thisted,Women,65-69,1481
2986,Thisted,Women,70-74,1309
2987,Thisted,Women,75-79,1201
2988,Thisted,Women,80-84,965
2989,Thisted,Women,85-89,511
2990,Thisted,Women,90-94,215
2991,Tårnby,Men,100+,11
2992,Tårnby,Men,15-19,1414
2993,Tårnby,Men,20-24,958
2994,Tårnby,Men,25-29,790
2995,Tårnby,Men,30-34,996
2996,Tårnby,Men,35-39,1278
2997,Tårnby,Men,40-44,1246
2998,Tårnby,Men,45-49,1417
2999,Tårnby,Men,50-54,1408
3000,Tårnby,Men,55-59,1287
3001,Tårnby,Men,60-64,1300
3002,Tårnby,Men,65-69,1108
3003,Tårnby,Men,70-74,904
3004,Tårnby,Men,75-79,829
3005,Tårnby,Men,80-84,577
3006,Tårnby,Men,85-89,235
3007,Tårnby,Men,90-94,98
3008,Tårnby,Women,100+,47
3009,Tårnby,Women,15-19,1354
3010,Tårnby,Women,20-24,885
3011,Tårnby,Women,25-29,686
3012,Tårnby,Women,30-34,1092
3013,Tårnby,Women,35-39,1227
3014,Tårnby,Women,40-44,1267
3015,Tårnby,Women,45-49,1406
3016,Tårnby,Women,50-54,1437
3017,Tårnby,Women,55-59,1305
3018,Tårnby,Women,60-64,1344
3019,Tårnby,Women,65-69,1140
3020,Tårnby,Women,70-74,1039
3021,Tårnby,Women,75-79,972
3022,Tårnby,Women,80-84,707
3023,Tårnby,Women,85-89,402
3024,Tårnby,Women,90-94,167
3025,Tønder,Men,100+,15
3026,Tønder,Men,15-19,949
3027,Tønder,Men,20-24,703
3028,Tønder,Men,25-29,611
3029,Tønder,Men,30-34,734
3030,Tønder,Men,35-39,784
3031,Tønder,Men,40-44,692
3032,Tønder,Men,45-49,755
3033,Tønder,Men,50-54,970
3034,Tønder,Men,55-59,1147
3035,Tønder,Men,60-64,1270
3036,Tønder,Men,65-69,1346
3037,Tønder,Men,70-74,1164
3038,Tønder,Men,75-79,994
3039,Tønder,Men,80-84,717
3040,Tønder,Men,85-89,325
3041,Tønder,Men,90-94,111
3042,Tønder,Women,100+,58
3043,Tønder,Women,15-19,905
3044,Tønder,Women,20-24,594
3045,Tønder,Women,25-29,519
3046,Tønder,Women,30-34,641
3047,Tønder,Women,35-39,720
3048,Tønder,Women,40-44,697
3049,Tønder,Women,45-49,785
3050,Tønder,Women,50-54,940
3051,Tønder,Women,55-59,1113
3052,Tønder,Women,60-64,1372
3053,Tønder,Women,65-69,1290
3054,Tønder,Women,70-74,1169
3055,Tønder,Women,75-79,1055
3056,Tønder,Women,80-84,776
3057,Tønder,Women,85-89,450
3058,Tønder,Women,90-94,188
3059,Vallensbæk,Men,100+,6
3060,Vallensbæk,Men,15-19,512
3061,Vallensbæk,Men,20-24,381
3062,Vallensbæk,Men,25-29,352
3063,Vallensbæk,Men,30-34,427
3064,Vallensbæk,Men,35-39,425
3065,Vallensbæk,Men,40-44,393
3066,Vallensbæk,Men,45-49,451
3067,Vallensbæk,Men,50-54,460
3068,Vallensbæk,Men,55-59,474
3069,Vallensbæk,Men,60-64,408
3070,Vallensbæk,Men,65-69,309
3071,Vallensbæk,Men,70-74,323
3072,Vallensbæk,Men,75-79,317
3073,Vallensbæk,Men,80-84,308
3074,Vallensbæk,Men,85-89,128
3075,Vallensbæk,Men,90-94,36
3076,Vallensbæk,Women,100+,10
3077,Vallensbæk,Women,15-19,488
3078,Vallensbæk,Women,20-24,364
3079,Vallensbæk,Women,25-29,324
3080,Vallensbæk,Women,30-34,419
3081,Vallensbæk,Women,35-39,437
3082,Vallensbæk,Women,40-44,400
3083,Vallensbæk,Women,45-49,434
3084,Vallensbæk,Women,50-54,469
3085,Vallensbæk,Women,55-59,426
3086,Vallensbæk,Women,60-64,396
3087,Vallensbæk,Women,65-69,319
3088,Vallensbæk,Women,70-74,344
3089,Vallensbæk,Women,75-79,389
3090,Vallensbæk,Women,80-84,390
3091,Vallensbæk,Women,85-89,162
3092,Vallensbæk,Women,90-94,58
3093,Varde,Men,100+,31
3094,Varde,Men,15-19,1436
3095,Varde,Men,20-24,1014
3096,Varde,Men,25-29,940
3097,Varde,Men,30-34,1184
3098,Varde,Men,35-39,1138
3099,Varde,Men,40-44,1111
3100,Varde,Men,45-49,1254
3101,Varde,Men,50-54,1472
3102,Varde,Men,55-59,1659
3103,Varde,Men,60-64,1781
3104,Varde,Men,65-69,1561
3105,Varde,Men,70-74,1460
3106,Varde,Men,75-79,1301
3107,Varde,Men,80-84,900
3108,Varde,Men,85-89,453
3109,Varde,Men,90-94,154
3110,Varde,Women,100+,76
3111,Varde,Women,15-19,1347
3112,Varde,Women,20-24,801
3113,Varde,Women,25-29,807
3114,Varde,Women,30-34,1101
3115,Varde,Women,35-39,1105
3116,Varde,Women,40-44,1044
3117,Varde,Women,45-49,1185
3118,Varde,Women,50-54,1453
3119,Varde,Women,55-59,1628
3120,Varde,Women,60-64,1721
3121,Varde,Women,65-69,1512
3122,Varde,Women,70-74,1491
3123,Varde,Women,75-79,1327
3124,Varde,Women,80-84,947
3125,Varde,Women,85-89,609
3126,Varde,Women,90-94,272
3127,Vejen,Men,100+,27
3128,Vejen,Men,15-19,1223
3129,Vejen,Men,20-24,939
3130,Vejen,Men,25-29,803
3131,Vejen,Men,30-34,1034
3132,Vejen,Men,35-39,1003
3133,Vejen,Men,40-44,999
3134,Vejen,Men,45-49,1244
3135,Vejen,Men,50-54,1377
3136,Vejen,Men,55-59,1367
3137,Vejen,Men,60-64,1449
3138,Vejen,Men,65-69,1195
3139,Vejen,Men,70-74,1132
3140,Vejen,Men,75-79,981
3141,Vejen,Men,80-84,700
3142,Vejen,Men,85-89,362
3143,Vejen,Men,90-94,106
3144,Vejen,Women,100+,56
3145,Vejen,Women,15-19,1223
3146,Vejen,Women,20-24,757
3147,Vejen,Women,25-29,752
3148,Vejen,Women,30-34,969
3149,Vejen,Women,35-39,923
3150,Vejen,Women,40-44,1008
3151,Vejen,Women,45-49,1169
3152,Vejen,Women,50-54,1309
3153,Vejen,Women,55-59,1221
3154,Vejen,Women,60-64,1362
3155,Vejen,Women,65-69,1225
3156,Vejen,Women,70-74,1096
3157,Vejen,Women,75-79,1036
3158,Vejen,Women,80-84,831
3159,Vejen,Women,85-89,494
3160,Vejen,Women,90-94,229
3161,Vejle,Men,100+,44
3162,Vejle,Men,15-19,3594
3163,Vejle,Men,20-24,2857
3164,Vejle,Men,25-29,2641
3165,Vejle,Men,30-34,3408
3166,Vejle,Men,35-39,3154
3167,Vejle,Men,40-44,2852
3168,Vejle,Men,45-49,3332
3169,Vejle,Men,50-54,3744
3170,Vejle,Men,55-59,3866
3171,Vejle,Men,60-64,3830
3172,Vejle,Men,65-69,3090
3173,Vejle,Men,70-74,2637
3174,Vejle,Men,75-79,2580
3175,Vejle,Men,80-84,1763
3176,Vejle,Men,85-89,858
3177,Vejle,Men,90-94,246
3178,Vejle,Women,100+,157
3179,Vejle,Women,15-19,3443
3180,Vejle,Women,20-24,2681
3181,Vejle,Women,25-29,2507
3182,Vejle,Women,30-34,3348
3183,Vejle,Women,35-39,3079
3184,Vejle,Women,40-44,2729
3185,Vejle,Women,45-49,3284
3186,Vejle,Women,50-54,3804
3187,Vejle,Women,55-59,3836
3188,Vejle,Women,60-64,3769
3189,Vejle,Women,65-69,3102
3190,Vejle,Women,70-74,2919
3191,Vejle,Women,75-79,2842
3192,Vejle,Women,80-84,2180
3193,Vejle,Women,85-89,1191
3194,Vejle,Women,90-94,490
3195,Vesthimmerlands,Men,100+,22
3196,Vesthimmerlands,Men,15-19,980
3197,Vesthimmerlands,Men,20-24,770
3198,Vesthimmerlands,Men,25-29,689
3199,Vesthimmerlands,Men,30-34,812
3200,Vesthimmerlands,Men,35-39,821
3201,Vesthimmerlands,Men,40-44,791
3202,Vesthimmerlands,Men,45-49,945
3203,Vesthimmerlands,Men,50-54,1102
3204,Vesthimmerlands,Men,55-59,1279
3205,Vesthimmerlands,Men,60-64,1287
3206,Vesthimmerlands,Men,65-69,1182
3207,Vesthimmerlands,Men,70-74,1076
3208,Vesthimmerlands,Men,75-79,1041
3209,Vesthimmerlands,Men,80-84,713
3210,Vesthimmerlands,Men,85-89,355
3211,Vesthimmerlands,Men,90-94,107
3212,Vesthimmerlands,Women,100+,53
3213,Vesthimmerlands,Women,15-19,929
3214,Vesthimmerlands,Women,20-24,623
3215,Vesthimmerlands,Women,25-29,572
3216,Vesthimmerlands,Women,30-34,778
3217,Vesthimmerlands,Women,35-39,784
3218,Vesthimmerlands,Women,40-44,766
3219,Vesthimmerlands,Women,45-49,929
3220,Vesthimmerlands,Women,50-54,1005
3221,Vesthimmerlands,Women,55-59,1168
3222,Vesthimmerlands,Women,60-64,1286
3223,Vesthimmerlands,Women,65-69,1231
3224,Vesthimmerlands,Women,70-74,1076
3225,Vesthimmerlands,Women,75-79,1027
3226,Vesthimmerlands,Women,80-84,811
3227,Vesthimmerlands,Women,85-89,465
3228,Vesthimmerlands,Women,90-94,184
3229,Viborg,Men,100+,44
3230,Viborg,Men,15-19,3292
3231,Viborg,Men,20-24,2320
3232,Viborg,Men,25-29,2091
3233,Viborg,Men,30-34,2610
3234,Viborg,Men,35-39,2436
3235,Viborg,Men,40-44,2380
3236,Viborg,Men,45-49,2784
3237,Viborg,Men,50-54,3052
3238,Viborg,Men,55-59,3274
3239,Viborg,Men,60-64,3202
3240,Viborg,Men,65-69,2809
3241,Viborg,Men,70-74,2618
3242,Viborg,Men,75-79,2358
3243,Viborg,Men,80-84,1571
3244,Viborg,Men,85-89,755
3245,Viborg,Men,90-94,246
3246,Viborg,Women,100+,109
3247,Viborg,Women,15-19,3039
3248,Viborg,Women,20-24,2106
3249,Viborg,Women,25-29,1881
3250,Viborg,Women,30-34,2499
3251,Viborg,Women,35-39,2316
3252,Viborg,Women,40-44,2330
3253,Viborg,Women,45-49,2768
3254,Viborg,Women,50-54,3151
3255,Viborg,Women,55-59,3167
3256,Viborg,Women,60-64,3184
3257,Viborg,Women,65-69,2898
3258,Viborg,Women,70-74,2644
3259,Viborg,Women,75-79,2461
3260,Viborg,Women,80-84,1918
3261,Viborg,Women,85-89,1002
3262,Viborg,Women,90-94,450
3263,Vordingborg,Men,100+,21
3264,Vordingborg,Men,15-19,1161
3265,Vordingborg,Men,20-24,947
3266,Vordingborg,Men,25-29,818
3267,Vordingborg,Men,30-34,968
3268,Vordingborg,Men,35-39,972
3269,Vordingborg,Men,40-44,930
3270,Vordingborg,Men,45-49,1101
3271,Vordingborg,Men,50-54,1372
3272,Vordingborg,Men,55-59,1637
3273,Vordingborg,Men,60-64,1726
3274,Vordingborg,Men,65-69,1682
3275,Vordingborg,Men,70-74,1551
3276,Vordingborg,Men,75-79,1448
3277,Vordingborg,Men,80-84,1023
3278,Vordingborg,Men,85-89,422
3279,Vordingborg,Men,90-94,131
3280,Vordingborg,Women,100+,58
3281,Vordingborg,Women,15-19,1120
3282,Vordingborg,Women,20-24,749
3283,Vordingborg,Women,25-29,699
3284,Vordingborg,Women,30-34,928
3285,Vordingborg,Women,35-39,916
3286,Vordingborg,Women,40-44,974
3287,Vordingborg,Women,45-49,1078
3288,Vordingborg,Women,50-54,1466
3289,Vordingborg,Women,55-59,1621
3290,Vordingborg,Women,60-64,1833
3291,Vordingborg,Women,65-69,1772
3292,Vordingborg,Women,70-74,1586
3293,Vordingborg,Women,75-79,1534
3294,Vordingborg,Women,80-84,1201
3295,Vordingborg,Women,85-89,608
3296,Vordingborg,Women,90-94,222
3297,Ærø,Men,100+,4
3298,Ærø,Men,15-19,121
3299,Ærø,Men,20-24,94
3300,Ærø,Men,25-29,91
3301,Ærø,Men,30-34,91
3302,Ærø,Men,35-39,91
3303,Ærø,Men,40-44,87
3304,Ærø,Men,45-49,107
3305,Ærø,Men,50-54,153
3306,Ærø,Men,55-59,183
3307,Ærø,Men,60-64,258
3308,Ærø,Men,65-69,248
3309,Ærø,Men,70-74,243
3310,Ærø,Men,75-79,251
3311,Ærø,Men,80-84,163
3312,Ærø,Men,85-89,74
3313,Ærø,Men,90-94,25
3314,Ærø,Women,100+,18
3315,Ærø,Women,15-19,116
3316,Ærø,Women,20-24,48
3317,Ærø,Women,25-29,61
3318,Ærø,Women,30-34,70
3319,Ærø,Women,35-39,92
3320,Ærø,Women,40-44,91
3321,Ærø,Women,45-49,99
3322,Ærø,Women,50-54,149
3323,Ærø,Women,55-59,197
3324,Ærø,Women,60-64,266
3325,Ærø,Women,65-69,247
3326,Ærø,Women,70-74,247
3327,Ærø,Women,75-79,252
3328,Ærø,Women,80-84,181
3329,Ærø,Women,85-89,133
3330,Ærø,Women,90-94,47
